CancerType,WSI-ID,NumNucleiSample,SizeOfNuclei-Average,SizeOfNuclei-Stddev,Note,SegmentationUnacceptableOrNot,VisualAssessmentComment
brca,TCGA-D8-A1JC-01Z-00-DX1.16D32FE8-4D76-4EEC-9739-D394087605BC.svs,94979,245.1030965,287.2156736,small-nuclei,0,
brca,TCGA-E2-A15I-01Z-00-DX1.DFF60A40-B03D-438F-A233-06132A213619.svs,269059,202.5637202,253.0914976,small-nuclei,0,
brca,TCGA-E9-A1N3-01Z-00-DX1.608fb360-17bf-4f85-b090-b8fc867831a3.svs,426615,284.4220761,232.7361661,small-nuclei,0,
brca,TCGA-E9-A1N4-01Z-00-DX1.71c8d4a5-ec99-4012-9fe2-ddb3349ad5bc.svs,1125111,262.3207621,196.9740729,small-nuclei,0,
brca,TCGA-E9-A1N5-01Z-00-DX1.94de7b4b-3798-4cc2-8a64-77796a58821a.svs,910401,268.951674,287.1229819,small-nuclei,0,
brca,TCGA-E9-A1N6-01Z-00-DX1.C0E8FFDC-2614-4DBF-B51E-4646A3919911.svs,576436,239.1490799,247.4594662,small-nuclei,0,
brca,TCGA-E9-A1NC-01Z-00-DX1.20edf036-8ba6-4187-a74c-124fc39f5aa1.svs,308958,209.6132937,180.9995863,small-nuclei,0,
brca,TCGA-E9-A1ND-01Z-00-DX1.5C2F5250-A3B2-4B97-9E11-56CF3C7CA2DB.svs,746691,253.9228422,263.7416859,small-nuclei,0,
brca,TCGA-E9-A1NE-01Z-00-DX1.f332124a-cdab-4ab5-82d1-4b8b7f3c9821.svs,456620,255.5550633,243.4666852,small-nuclei,0,
brca,TCGA-E9-A1NH-01Z-00-DX1.20FF11B7-DAF0-41C2-B7C5-449BA5268EC0.svs,473977,258.6867401,220.5896024,small-nuclei,0,
brca,TCGA-E9-A2JT-01Z-00-DX1.49C2B936-3B1A-4014-8B43-26D483DEF53A.svs,395641,278.4926309,222.4310876,small-nuclei,0,
brca,TCGA-E9-A5UP-01Z-00-DX1.135466CC-601C-48B2-935D-42F8D7C4CDF7.svs,403444,275.6110737,194.8601129,small-nuclei,0,
brca,TCGA-EW-A3E8-01Z-00-DX1.E185B2E4-3E16-4C66-90D7-FDB9A14BA00D.svs,714663,283.9983587,227.007896,small-nuclei,0,
brca,TCGA-GM-A2DA-01Z-00-DX1.6E409F88-F654-48C8-A753-BB054037BE16.svs,268600,287.3414557,246.7813244,small-nuclei,0,
brca,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.svs,182903,833.0185891,837.313951,huge-nuclei,0,
brca,TCGA-A8-A06T-01Z-00-DX1.BA8B8FC3-6169-48C1-BE1F-37F140CB4D3B.svs,175440,801.5302326,562.3620663,huge-nuclei,0,
brca,TCGA-A8-A06Y-01Z-00-DX1.3BC58446-524E-43F3-AAE6-FBC4AA543E66.svs,74987,856.9832238,647.965514,huge-nuclei,0,
brca,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.svs,170561,814.1566829,780.4575159,huge-nuclei,0,
brca,TCGA-A8-A09I-01Z-00-DX1.B738E479-8766-4766-B012-B32AC2F27533.svs,125562,820.3671812,671.9283043,huge-nuclei,0,
brca,TCGA-B6-A0IB-01Z-00-DX1.BAA1D655-1B80-49E2-B1EB-2ECC83DED989.svs,550239,902.9881979,1422.188642,huge-nuclei,1,Image problem
brca,TCGA-OL-A66H-01Z-00-DX1.E54AF3FA-E59E-404C-BB83-A6FC6FC9B312.svs,119918,1240.937057,1162.895257,huge-nuclei,1,Missing nuclei
brca,TCGA-OL-A66I-01Z-00-DX1.8CE9DCAB-98D3-4163-94AC-1557D86C1E25.svs,325312,865.331574,765.2917476,huge-nuclei,?,Image not found on osprey
brca,TCGA-OL-A66J-01Z-00-DX1.661F7F70-E4D4-4875-B8C4-556F7927F3BA.svs,245956,1028.907866,1166.095711,huge-nuclei,?,Image not found on osprey
brca,TCGA-OL-A66K-01Z-00-DX1.C1DC85F1-4FAE-4411-9886-11DCB5E70CC3.svs,716057,1219.004653,1338.0057,huge-nuclei,0,
brca,TCGA-OL-A66L-01Z-00-DX1.E01BA275-57A5-49DF-9376-1AD0BDFFF7E2.svs,354229,961.4676777,1263.225209,huge-nuclei,?,Image not found on osprey
brca,TCGA-OL-A66N-01Z-00-DX1.ABDA3014-7B3A-4D48-A415-CB9608491ECB.svs,139791,1031.470023,853.5034791,huge-nuclei,?,Image not found on osprey
brca,TCGA-OL-A66O-01Z-00-DX1.5F1E4C60-5CE8-41B4-A94D-4AA80D9253F9.svs,140369,1272.789512,1357.684431,huge-nuclei,1,Image out of focus
brca,TCGA-OL-A66P-01Z-00-DX1.5ADD0D6D-37C6-4BC9-8C2B-64DB18BE99B3.svs,342244,938.9668687,698.2593918,huge-nuclei,?,Image not found on osprey
brca,TCGA-OL-A6VO-01Z-00-DX1.291D54D6-EBAF-4622-BD42-97AA5997F014.svs,189958,1038.029443,1095.067744,huge-nuclei,?,Image not found on osprey
brca,TCGA-AO-A03V-01Z-00-DX1.52EBCB72-0C65-4E67-B9BB-DA15494327DE.svs,522716,723.0715494,977.5201669,huge-variation,1,Image color too dark
brca,TCGA-AO-A12H-01Z-00-DX1.C6CCBD9D-FB41-4F6C-84FB-A43E0A77E696.svs,918612,794.8888704,945.2299573,huge-variation,0,
brca,TCGA-AR-A1AP-01Z-00-DX1.F163EED5-0385-41AA-BA35-54E4910CD99E.svs,493357,582.258468,1085.941062,huge-variation,1,Image problem
brca,TCGA-B6-A0I5-01Z-00-DX1.47A30509-4BA0-4BA5-AD9B-F2C2DB701159.svs,511360,704.5740691,1172.623947,huge-variation,1,Missing nuclei; clumps
brca,TCGA-BH-A0BL-01Z-00-DX1.D5A413B0-2141-4A6F-A671-6C5EA8641D25.svs,802485,662.0046393,979.9697425,huge-variation,1,Image problem
brca,TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D.svs,385339,593.2230997,950.3222247,huge-variation,1,Missing nuclei; partially due to image problem
brca,TCGA-PL-A8LX-01A-01-DX1.9646D69F-A764-4246-9243-67A63006DE96.svs,106301,703.7385255,932.4727518,huge-variation,?,Image not found on osprey
brca,TCGA-PL-A8LX-01A-02-DX2.84DA8B75-1196-4704-B6B2-C5E7BF645E95.svs,156655,726.4885513,1074.417488,huge-variation,?,Image not found on osprey
brca,TCGA-PL-A8LZ-01A-02-DX2.E2697718-12E1-4D7C-9ED8-0A71C6D855B8.svs,94248,777.0333694,1359.658234,huge-variation,1,False segmentation
cesc,TCGA-PN-A8MA-01A-01-DX1.978164EB-6260-45BA-A874-FC795B72FA8C.svs,49402,633.1273228,957.2743224,few-nuclei,1,Looks like a frozen slide
cesc,TCGA-VS-A8EI-01Z-00-DX1.8DD9CBFB-C3B2-48D0-ADEE-046197F481A7.svs,46937,306.8630931,369.4032445,few-nuclei,1,Bad segmentation in the bottom tissue region
cesc,TCGA-VS-A9V3-01Z-00-DX1.6625C7BA-2F8A-41E9-871B-EF8C96999A74.svs,59534,395.8440891,567.8781342,few-nuclei,1,Bad image
cesc,TCGA-FU-A5XV-01Z-00-DX1.42E46204-02C8-4BD4-B14C-4A77895EECA5.svs,60401,490.0489727,393.732688,few-nuclei,0,
cesc,TCGA-Q1-A5R2-01Z-00-DX1.FED4C720-A758-4C81-ABC0-48B9F995506A.svs,61982,448.6555129,403.9934898,few-nuclei,0,
cesc,TCGA-BI-A0VS-01Z-00-DX1.C1E1F2D2-4F9F-42A2-914F-75ED20A1DB61.svs,86360,538.7944882,409.0742587,few-nuclei,1,Misses nuclei
cesc,TCGA-VS-A9UJ-01Z-00-DX1.6B3D2EB0-9B0B-4B38-ADFB-AB88E69273D6.svs,97478,391.0537147,487.2239514,few-nuclei,0,Result is not optimal anyway; False segmentation in folded tissue regions
cesc,TCGA-VS-A9UR-01Z-00-DX1.8475AB5B-6699-4F92-B5F8-7B8A7DF61942.svs,97665,352.0342907,263.8704848,few-nuclei,0,
cesc,TCGA-VS-AA62-01Z-00-DX1.8DC8A4E5-7999-4CAC-ABBA-CDD2B7CA409F.svs,93466,443.9803565,311.9370331,few-nuclei,0,
cesc,TCGA-HM-A6W2-01Z-00-DX2.DD08024A-D7A2-4730-96CA-2D494AA90D2F.svs,657186,746.5321538,665.9492869,huge-nuclei,0,
cesc,TCGA-EA-A556-01Z-00-DX1.08D384ED-C0AF-429B-8E7E-0B2BEAB2E90A.svs,987785,642.7319336,528.6904896,huge-nuclei,0,
cesc,TCGA-FU-A3TX-01Z-00-DX1.EE303173-5102-4633-92AA-A4C18AB1D251.svs,387532,635.4724513,493.1869394,huge-nuclei,0,
cesc,TCGA-EX-A69M-01Z-00-DX1.D0875AD8-BB8D-4CED-BAE8-B54312297A53.svs,2529685,621.5455059,395.5431045,huge-nuclei,0,False segmentation in the center tissue fragment
cesc,TCGA-VS-A8EB-01Z-00-DX1.1272EB5E-4A07-4F3B-B8DA-2574DEC130C5.svs,123437,617.7700041,598.8685119,huge-nuclei,1,Clumps; missing nuclei
cesc,TCGA-VS-A954-01Z-00-DX1.256F0EB9-E7C2-40FF-9A75-25BA1A590556.svs,590257,618.1727485,651.529826,huge-nuclei,0,Clumps exist to some extend
cesc,TCGA-VS-A9UL-01Z-00-DX1.4348D92F-0EA0-4A98-8F5E-D52E49AF71F4.svs,317084,619.6358567,691.6804649,huge-nuclei,0,Bad segmentation in folded tissue regions
cesc,TCGA-C5-A1M6-01Z-00-DX1.13F7405D-AD0E-4A1C-9DF4-00DC90756D28.svs,899521,605.0711545,738.5012294,huge-nuclei,1,Missing nuclei; Image is a bit out of focus
cesc,TCGA-EX-A449-01Z-00-DX1.5B2B2644-D7DB-4309-BF64-F40EADFA21ED.svs,554591,609.8153757,557.8246722,huge-nuclei,1,Clumps
cesc,TCGA-EA-A97N-01Z-00-DX1.EC5C1041-2180-47C8-9C17-38694B8B00EE.svs,1373702,393.0797961,1153.532801,huge-variation,1,Clumps in marker regions
cesc,TCGA-C5-A1MI-01Z-00-DX1.93D2D53E-C990-4CEE-AF61-A841A3798A74.svs,74222,500.0272561,747.998867,huge-variation,0,Bad segmentation in folded tissue regions
cesc,TCGA-C5-A1ME-01Z-00-DX1.44645529-F452-49AD-8044-0C43DDBAE774.svs,405824,564.6900134,697.1573534,huge-variation,0,Clumps exist to some extend
cesc,TCGA-VS-A9V1-01Z-00-DX1.BEA16277-7AE1-4149-90BA-E4FDAEF4235F.svs,98039,413.1366395,630.1045058,huge-variation,1,Clumps; missing nuclei
cesc,TCGA-DG-A2KH-01Z-00-DX1.A223508A-D3EE-4EB0-9578-C8926FF625E3.svs,234481,578.9042268,618.8898377,huge-variation,1,Missing a lot of nuclei
cesc,TCGA-Q1-A73R-01Z-00-DX1.1BF1893C-AC21-4FB2-A568-F71B75350374.svs,656863,171.6375683,223.6163201,small-nuclei,1,Clumps
cesc,TCGA-EA-A4BA-01Z-00-DX1.7EB090B2-E79E-417F-A871-247353679D7B.svs,1070762,222.7808561,227.172273,small-nuclei,0,Tissue is sparse
cesc,TCGA-MU-A5YI-01Z-00-DX1.9A120E91-4345-45D5-BF51-C2D6F9612632.svs,459561,238.5231014,217.2978717,small-nuclei,0,Derived magnification level might be wrong
cesc,TCGA-C5-A2LZ-01Z-00-DX1.D5CB77BD-EDA8-4D2E-8041-DFB946A131C1.svs,219300,254.9593798,272.9386589,small-nuclei,0,Clumps exist to some extend
cesc,TCGA-C5-A8YQ-01Z-00-DX1.7C89A1ED-0C03-4668-9378-FE445AF14F5A.svs,1587919,255.660807,261.8872762,small-nuclei,0,
cesc,TCGA-DS-A7WI-01Z-00-DX1.0B562A1C-1C0A-46B1-8F40-BE134929D036.svs,1843106,265.6783652,221.0078247,small-nuclei,0,Clumps exist to some extend
cesc,TCGA-EA-A3HR-01Z-00-DX1.E3ED09EE-1667-42DD-A1F5-F430CE9A2A25.svs,2139620,263.3678611,231.617188,small-nuclei,0,
cesc,TCGA-C5-A1BL-01Z-00-DX1.E71D7185-85C2-4E08-AA56-006B08FBD630.svs,269858,266.8326194,199.4001181,small-nuclei,0,
cesc,TCGA-C5-A907-01Z-00-DX1.7DEEFC23-B631-419E-B5E0-8F9B8E974D1F.svs,215373,273.8965191,232.7735161,small-nuclei,0,
cesc,TCGA-C5-A1BI-01Z-00-DX1.8BDACB17-D5CF-4462-B58F-8C1AF589E093.svs,2312034,300.9466773,194.6360803,small-variation,0,
cesc,TCGA-MY-A5BE-01Z-00-DX3.6DA5EAD4-BB7C-42ED-BE81-CEF2FAE7A11C.svs,1554191,275.2151975,185.956251,small-variation,0,
cesc,TCGA-MY-A5BE-01Z-00-DX4.FEB6720A-6D9C-4EE7-9251-1BE636EA5269.svs,1147619,257.9204971,174.1392245,small-variation,0,
cesc,TCGA-EA-A5ZD-01Z-00-DX1.0F22F099-E562-4AF5-9DE9-46667A4B25B0.svs,4152301,384.7404372,315.8783644,too-many-nuclei,0,
cesc,TCGA-EA-A5ZE-01Z-00-DX1.A448B9F5-E8DB-453A-BC88-4797A6DE9860.svs,4003398,460.2523249,311.2416179,too-many-nuclei,0,
cesc,TCGA-LP-A5U2-01Z-00-DX1.5D32288C-4472-4B5A-B3F6-93D31A8E6E52.svs,3791306,501.5706356,347.419199,too-many-nuclei,0,
coad,TCGA-AA-3492-01Z-00-DX1.32D79909-71D5-4843-847E-AECA5DBC963D.svs,0,0,0,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3510-01Z-00-DX1.B4FCE76A-3B60-4D7D-9F3E-973AE17EA8E2.svs,0,0,0,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3488-01Z-00-DX1.EDF60198-F7AB-45BB-9A1B-C2E2FA141989.svs,102,172,297.3365097,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3660-01Z-00-DX1.CCD0F50D-9991-4CC2-AC77-AD1F78D8CFEB.svs,799,390.106383,459.167991,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3697-01Z-00-DX1.AAB8DB74-F76D-4D0A-A50E-E7F97504A3C4.svs,3162,416.2956989,425.0893058,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3713-01Z-00-DX1.8148ACEB-7C1E-4D29-B908-F3729657EA4F.svs,3383,610.2160804,637.6160047,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3662-01Z-00-DX1.625F1BCC-5E59-411E-AE23-6F43CE6122B2.svs,4505,639.8226415,1082.191942,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3495-01Z-00-DX1.67DEE36B-724E-4B4F-B3A9-B4E8CCCEFA80.svs,5270,521.9967742,1154.169771,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3494-01Z-00-DX1.E275AF20-3AA7-4191-BD1F-FFE744CA6A2F.svs,7242,781.0985915,1231.900444,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3509-01Z-00-DX1.EAE46823-3132-486F-8C2A-C0F548A08335.svs,8568,722.5337302,1220.598142,few-nuclei,?,No slide found on osprey
coad,TCGA-A6-2675-01Z-00-DX1.d37847d6-c17f-44b9-b90a-84cd1946c8ab.svs,11509,377.4327917,410.3310012,few-nuclei,0,
coad,TCGA-AA-3655-01Z-00-DX1.D78D8DBE-E74F-491D-AC9C-10E4C4E7BB02.svs,13821,405.7380074,623.5008975,few-nuclei,?,No slide found on osprey
coad,TCGA-AA-3854-01Z-00-DX1.1564d865-6653-4be1-951e-ea9fab0102a7.svs,29733,660.6632361,747.0954685,few-nuclei,1,Missing a lot of nuclei. Color normalization issue?
coad,TCGA-AA-3858-01Z-00-DX1.6336815f-9887-4f74-a15d-78e7f6cacb59.svs,30583,642.5758755,770.7165142,few-nuclei,1,Missing a lot of nuclei.
coad,TCGA-AA-3556-01Z-00-DX1.63a74b91-44e8-4ffd-8737-bcf6992183c3.svs,56440,623.2993976,649.2833979,few-nuclei,1,Missing a lot of nuclei.
coad,TCGA-AA-3506-01Z-00-DX1.08CFD143-1A4C-4262-831E-79D9C4BBF453.svs,8228,1017.357438,1612.573852,huge-nuclei,?,No slide found on osprey
coad,TCGA-AA-3663-01Z-00-DX1.9AEDC003-2062-4876-8993-A5CEE4DDE1A9.svs,3162,1015.693548,1932.670039,huge-nuclei,?,No slide found on osprey
coad,TCGA-AA-3811-01Z-00-DX1.369d7946-911e-4e97-8ae7-32ef12b6b106.svs,185657,994.0687666,1194.102754,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3941-01Z-00-DX1.7c445fb8-53ee-4813-9ca8-8f7c3cc0bdde.svs,238493,987.4842113,1280.71472,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3972-01Z-00-DX1.a60c2c2b-71ea-4cd6-a56b-c8e409a181ac.svs,90593,955.3398386,1019.229327,huge-nuclei,0,
coad,TCGA-AA-3851-01Z-00-DX1.cefbb22e-6b16-41b2-b732-452bf2efe425.svs,134470,904.2367889,1035.986262,huge-nuclei,0,Clumps exist to some extend
coad,TCGA-AA-A01D-01Z-00-DX1.A6FE424C-9BF8-4605-8A78-7BD7B83BEC61.svs,240975,900.1106173,821.0444378,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3552-01Z-00-DX1.84133d42-9a39-44b5-a1ec-a5382650c939.svs,223057,884.7231156,1073.65062,huge-nuclei,0,purple-ish slide
coad,TCGA-AA-3848-01Z-00-DX1.bb018b1c-7748-4865-b00f-42edc35b5047.svs,293777,883.5210347,1108.23408,huge-nuclei,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-A01F-01Z-00-DX1.A09E4A5B-1DD2-472C-B387-91803FEE514A.svs,81158,853.4130708,959.2344509,huge-nuclei,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-A00J-01Z-00-DX1.BA85D337-6687-44A6-A8DD-0CE889134BA0.svs,666281,852.280943,937.4764827,huge-nuclei,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-3542-01Z-00-DX1.db284d9a-bde5-471c-ac37-5f3216d0f077.svs,247197,850.357472,1028.364022,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3872-01Z-00-DX1.eb3732ee-40e3-4ff0-a42b-d6a85cfbab6a.svs,89352,828.526446,819.15374,huge-nuclei,0,Clumps exist to some extend
coad,TCGA-AA-3841-01Z-00-DX1.10f98d09-027f-4495-9ad8-7c8dc49a07d7.svs,330191,827.4467899,1199.401429,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3844-01Z-00-DX1.bf88ce1f-0601-40c8-813e-4e3df51bd2f0.svs,142103,827.2091159,1076.444931,huge-nuclei,1,Clumps; purple-ish slide
coad,TCGA-AA-3980-01Z-00-DX1.93383cb9-59a7-431d-b268-3c3d59a1120e.svs,158202,823.6864389,939.4876451,huge-nuclei,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-3812-01Z-00-DX1.c501fc71-8370-4034-b32a-1bb7cd846881.svs,181271,816.1346713,1246.162541,huge-nuclei,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-G4-6625-01Z-00-DX1.0fa26667-2581-4f96-a891-d78dbc3299b4.svs,77554,663.3336256,1533.668802,huge-variation,1,Looks like a frozen slide
coad,TCGA-AA-A01T-01Z-00-DX1.0C795296-87D6-4B90-9363-CF5CD7A2924D.svs,112285,860.8208933,1419.5796,huge-variation,1,Clumps
coad,TCGA-AA-3693-01Z-00-DX1.0e18d1db-cdff-433b-a150-6c759c4dc3bb.svs,216971,790.8153256,1395.629549,huge-variation,1,Clumps
coad,TCGA-AA-3973-01Z-00-DX1.05cee752-3f4e-442d-a093-dcfb2b6130f0.svs,171309,791.086236,1243.133486,huge-variation,1,Clumps; missing nuclei
coad,TCGA-AA-3947-01Z-00-DX1.77005e19-8a8e-4b82-89e9-c81af9b41193.svs,472719,778.692056,1240.792858,huge-variation,1,Clumps
coad,TCGA-AA-3984-01Z-00-DX1.d0cb7571-c612-4410-ac03-ebe800ad6767.svs,196435,702.058849,1155.526414,huge-variation,1,Clumps
coad,TCGA-AA-A00A-01Z-00-DX1.B51DF257-6110-404C-9B20-A3C3453788F6.svs,287538,786.0089275,1141.02156,huge-variation,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-3684-01Z-00-DX1.c6be6ea4-fa92-4499-b458-85c3a8b1e3b6.svs,530094,757.7614329,1084.496391,huge-variation,1,Clumps; missing nuclei; purple-ish slide
coad,TCGA-AA-3712-01Z-00-DX1.00E0ACE2-8CC5-4063-9C65-3CDD7F21B189.svs,221,102.7692308,95.64127999,small-nuclei,?,No slide found on osprey
coad,TCGA-T9-A92H-01Z-00-DX3.1DE7D5ED-60F7-4645-8243-AB0C027B3ED7.svs,58616,258.3323666,267.6861047,small-nuclei,1,Indeed very small nuclei. But still misses a lot of small nuclei.
coad,TCGA-D5-6898-01Z-00-DX1.d2c5ab3b-da4d-4fa4-b535-4339d59515e7.svs,501908,259.0591383,336.0268703,small-nuclei,0,
